query,device,impressions
sam hauser celtics stats,Desktop,1
théo maledon stats,Desktop,1
thomas robinson stats,Mobile,1
von wafer teams,Desktop,1
steph curry stats career,Desktop,1
steph curry stts,Desktop,1
rory white,Desktop,1
robert parrish stats,Mobile,1
robert parish stats,Tablet,1
wade baldwin iv stats,Mobile,1
wade baldwin stats,Mobile,1
robert parish career stats,Mobile,1
robert parish career stats,Desktop,1
stephan curry stats,Desktop,1
ricky brown nba,Mobile,1
ricky brown nba,Desktop,1
ricky brown basketball,Desktop,1
abdul jabbar points,Mobile,1
larry bord stats,Desktop,1
micheal jordan season stats,Desktop,1
micheal jordan points,Desktop,1
jokic career points,Mobile,1
jokic career highs,Desktop,1
joic stats,Desktop,1
john stockton turnovers,Desktop,1
john stockton stats,Mobile,1
john stockton stats,Desktop,1
john salley stats,Mobile,1
john salley stats,Desktop,1
jeremy lamb age,Desktop,1
jeff turner nba,Mobile,1
jeff turner nba,Desktop,1
jeff turner basketball,Mobile,1
jeff turner,Mobile,1
jeff teague teams,Mobile,1
jeff teague career,Desktop,1
jawann oldham stats,Desktop,1
jaron blossomgame stats,Mobile,1
jameson curry stats,Desktop,1
james donaldson stats,Mobile,1
jamario moon stats,Desktop,1
jack molinas,Mobile,1
i okoro stats,Mobile,1
howard carter (basketball),Desktop,1
how many rebounds does jokic have,Desktop,1
hakeem.olajuwon stats,Desktop,1
jokic nba stats,Desktop,1
jokic nikola stats,Desktop,1
jokic stats blocks,Desktop,1
jud bushler,Desktop,1
kareem abdul-jabbar free throw percentage,Desktop,1
kareem abdul-jabbar estatura,Desktop,1
kareem abdul-jabbar career stats,Mobile,1
kareem abdul-jabbar career high,Desktop,1
kareem abdul jabbar rebounds,Desktop,1
kareem abdul jabbar position,Mobile,1
kareem abdul jabbar nba stats,Desktop,1
kareem abdul jabbar height in ft,Desktop,1
kareem abdul jabbar free throw percentage,Desktop,1
kareem abdul jabbar career stats,Mobile,1
kareem abdul jabbar average ppg,Mobile,1
josh minott stats,Mobile,1
jokic stats career,Desktop,1
jordans stats,Desktop,1
jordan's career stats,Desktop,1
jordan stats by year,Desktop,1
jordan statistics,Desktop,1
jordan stat,Mobile,1
jordan stast,Desktop,1
jordan stas,Desktop,1
jordan career stats,Mobile,1
jordan all time stats,Desktop,1
jokics stats,Mobile,1
jokic total points,Desktop,1
hakeem olajuwon three point percentage,Desktop,1
hakeem olajuwon ppg,Desktop,1
hakeem olajuwon free throw percentage,Mobile,1
career stats michael jordan,Desktop,1
darius garland average points,Desktop,1
damon stoudamire stats,Desktop,1
currys stats,Desktop,1
